System Passenger - Available Seat Miles  (January 2023 - December 2025)
Unit: (000)

Period,Scheduled
"January 2023","98963615"
"February 2023","91276075"
"March 2023","106781300"
"April 2023","104338836"
"May 2023","109788960"
"June 2023","111489108"
"July 2023","117336395"
"August 2023","116931041"
"September 2023","107001295"
"October 2023","111636327"
"November 2023","105870525"
"December 2023","111725984"
"January 2024","103399737"
"February 2024","99790070"
"March 2024","115006387"
"April 2024","112036635"
"May 2024","117109144"
"June 2024","120478746"
"July 2024","123652810"
"August 2024","119339703"
"September 2024","108828910"
"October 2024","112636184"
"November 2024","107091855"
"December 2024","114680882"
"January 2025","105223243"
"February 2025","98176546"
"March 2025","118964797"
"April 2025","115620152"
"May 2025","119739824"
"June 2025","123238963"
"July 2025","127701844"
"August 2025","122213205"
"September 2025","109943392"
"October 2025","116482106"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
