System Passenger - Departures Performed (Flights)  (January 2023 - December 2025)
Unit: (000)

Period,Scheduled
"January 2023","673288"
"February 2023","628792"
"March 2023","727421"
"April 2023","706435"
"May 2023","739830"
"June 2023","737479"
"July 2023","766409"
"August 2023","772584"
"September 2023","715347"
"October 2023","752144"
"November 2023","714248"
"December 2023","731213"
"January 2024","684981"
"February 2024","668668"
"March 2024","758177"
"April 2024","747407"
"May 2024","780811"
"June 2024","789466"
"July 2024","814106"
"August 2024","795821"
"September 2024","740947"
"October 2024","773228"
"November 2024","733098"
"December 2024","759839"
"January 2025","704978"
"February 2025","669006"
"March 2025","797332"
"April 2025","774077"
"May 2025","802398"
"June 2025","814585"
"July 2025","842373"
"August 2025","810761"
"September 2025","738713"
"October 2025","789025"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
