System Passenger - Passenger Enplanements  (January 2023 - December 2025)
Unit: (000)

Period,Scheduled
"January 2023","67356"
"February 2023","64802"
"March 2023","79808"
"April 2023","77584"
"May 2023","81786"
"June 2023","84033"
"July 2023","87821"
"August 2023","83073"
"September 2023","76260"
"October 2023","82633"
"November 2023","77713"
"December 2023","78699"
"January 2024","70057"
"February 2024","70396"
"March 2024","84850"
"April 2024","81237"
"May 2024","87081"
"June 2024","89728"
"July 2024","91805"
"August 2024","86817"
"September 2024","77496"
"October 2024","82828"
"November 2024","77070"
"December 2024","83339"
"January 2025","70745"
"February 2025","67209"
"March 2025","83674"
"April 2025","80404"
"May 2025","85277"
"June 2025","88678"
"July 2025","92178"
"August 2025","86761"
"September 2025","76815"
"October 2025","84134"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
