Year,Quarter,Month,Airport_Code,City,State,Departures_Performed,Arrivals_Performed,Total_Operations
2023,1,1,ABE,"Allentown/Bethlehem/Easton, PA",Pennsylvania,300.0,298.0,598.0
2023,1,1,ABI,"Abilene, TX",Texas,107.0,109.0,216.0
2023,1,1,ABQ,"Albuquerque, NM",New Mexico,1690.0,1689.0,3379.0
2023,1,1,ABR,"Aberdeen, SD",South Dakota,61.0,61.0,122.0
2023,1,1,ABY,"Albany, GA",Georgia,82.0,82.0,164.0
2023,1,1,ACT,"Waco, TX",Texas,96.0,96.0,192.0
2023,1,1,ACV,"Arcata/Eureka, CA",California,142.0,143.0,285.0
2023,1,1,ACY,"Atlantic City, NJ",New Jersey,221.0,220.0,441.0
2023,1,1,ADK,"Adak Island, AK",Alaska,8.0,8.0,16.0
2023,1,1,ADQ,"Kodiak, AK",Alaska,50.0,51.0,101.0
2023,1,1,AEX,"Alexandria, LA",Louisiana,152.0,152.0,304.0
2023,1,1,AGS,"Augusta, GA",Georgia,373.0,375.0,748.0
2023,1,1,ALB,"Albany, NY",New York,973.0,972.0,1945.0
2023,1,1,ALO,"Waterloo, IA",Iowa,40.0,40.0,80.0
2023,1,1,AMA,"Amarillo, TX",Texas,349.0,348.0,697.0
2023,1,1,ANC,"Anchorage, AK",Alaska,1280.0,1280.0,2560.0
2023,1,1,APN,"Alpena, MI",Michigan,52.0,52.0,104.0
2023,1,1,ASE,"Aspen, CO",Colorado,887.0,886.0,1773.0
2023,1,1,ATL,"Atlanta, GA",Georgia,26582.0,26566.0,53148.0
2023,1,1,ATW,"Appleton, WI",Wisconsin,353.0,353.0,706.0
2023,1,1,AUS,"Austin, TX",Texas,7425.0,7428.0,14853.0
2023,1,1,AVL,"Asheville, NC",North Carolina,688.0,689.0,1377.0
2023,1,1,AVP,"Scranton/Wilkes-Barre, PA",Pennsylvania,151.0,151.0,302.0
2023,1,1,AZA,"Phoenix, AZ",Arizona,495.0,495.0,990.0
2023,1,1,AZO,"Kalamazoo, MI",Michigan,111.0,111.0,222.0
2023,1,1,BDL,"Hartford, CT",Connecticut,1757.0,1756.0,3513.0
2023,1,1,BET,"Bethel, AK",Alaska,58.0,58.0,116.0
2023,1,1,BFF,"Scottsbluff, NE",Nebraska,52.0,52.0,104.0
2023,1,1,BFL,"Bakersfield, CA",California,192.0,191.0,383.0
2023,1,1,BGM,"Binghamton, NY",New York,49.0,50.0,99.0
2023,1,1,BGR,"Bangor, ME",Maine,295.0,295.0,590.0
2023,1,1,BHM,"Birmingham, AL",Alabama,1048.0,1048.0,2096.0
2023,1,1,BIH,"Bishop, CA",California,51.0,51.0,102.0
2023,1,1,BIL,"Billings, MT",Montana,270.0,270.0,540.0
2023,1,1,BIS,"Bismarck/Mandan, ND",North Dakota,275.0,274.0,549.0
2023,1,1,BJI,"Bemidji, MN",Minnesota,61.0,62.0,123.0
2023,1,1,BLI,"Bellingham, WA",Washington,145.0,145.0,290.0
2023,1,1,BLV,"Belleville, IL",Illinois,58.0,58.0,116.0
2023,1,1,BMI,"Bloomington/Normal, IL",Illinois,167.0,167.0,334.0
2023,1,1,BNA,"Nashville, TN",Tennessee,7590.0,7591.0,15181.0
2023,1,1,BOI,"Boise, ID",Idaho,1687.0,1685.0,3372.0
2023,1,1,BOS,"Boston, MA",Massachusetts,10871.0,10870.0,21741.0
2023,1,1,BPT,"Beaumont/Port Arthur, TX",Texas,61.0,61.0,122.0
2023,1,1,BQK,"Brunswick, GA",Georgia,62.0,62.0,124.0
2023,1,1,BQN,"Aguadilla, PR",Puerto Rico,258.0,256.0,514.0
2023,1,1,BRD,"Brainerd, MN",Minnesota,52.0,52.0,104.0
2023,1,1,BRO,"Brownsville, TX",Texas,76.0,76.0,152.0
2023,1,1,BRW,"Barrow, AK",Alaska,30.0,30.0,60.0
2023,1,1,BTM,"Butte, MT",Montana,56.0,56.0,112.0
2023,1,1,BTR,"Baton Rouge, LA",Louisiana,281.0,281.0,562.0
2023,1,1,BTV,"Burlington, VT",Vermont,603.0,606.0,1209.0
2023,1,1,BUF,"Buffalo, NY",New York,1586.0,1586.0,3172.0
2023,1,1,BUR,"Burbank, CA",California,2385.0,2384.0,4769.0
2023,1,1,BWI,"Baltimore, MD",Maryland,7393.0,7388.0,14781.0
2023,1,1,BZN,"Bozeman, MT",Montana,821.0,819.0,1640.0
2023,1,1,CAE,"Columbia, SC",South Carolina,467.0,471.0,938.0
2023,1,1,CAK,"Akron, OH",Ohio,199.0,199.0,398.0
2023,1,1,CDC,"Cedar City, UT",Utah,51.0,51.0,102.0
2023,1,1,CDV,"Cordova, AK",Alaska,60.0,60.0,120.0
2023,1,1,CHA,"Chattanooga, TN",Tennessee,413.0,416.0,829.0
2023,1,1,CHO,"Charlottesville, VA",Virginia,202.0,203.0,405.0
2023,1,1,CHS,"Charleston, SC",South Carolina,1714.0,1715.0,3429.0
2023,1,1,CID,"Cedar Rapids/Iowa City, IA",Iowa,530.0,530.0,1060.0
2023,1,1,CIU,"Sault Ste. Marie, MI",Michigan,61.0,61.0,122.0
2023,1,1,CKB,"Clarksburg/Fairmont, WV",West Virginia,10.0,10.0,20.0
2023,1,1,CLE,"Cleveland, OH",Ohio,3127.0,3131.0,6258.0
2023,1,1,CLL,"College Station/Bryan, TX",Texas,90.0,90.0,180.0
2023,1,1,CLT,"Charlotte, NC",North Carolina,15170.0,15167.0,30337.0
2023,1,1,CMH,"Columbus, OH",Ohio,3176.0,3175.0,6351.0
2023,1,1,CMI,"Champaign/Urbana, IL",Illinois,118.0,118.0,236.0
2023,1,1,CMX,"Hancock/Houghton, MI",Michigan,61.0,61.0,122.0
2023,1,1,CNY,"Moab, UT",Utah,32.0,31.0,63.0
2023,1,1,COD,"Cody, WY",Wyoming,3.0,3.0,6.0
2023,1,1,COS,"Colorado Springs, CO",Colorado,864.0,864.0,1728.0
2023,1,1,COU,"Columbia, MO",Missouri,87.0,86.0,173.0
2023,1,1,CPR,"Casper, WY",Wyoming,160.0,161.0,321.0
2023,1,1,CRP,"Corpus Christi, TX",Texas,213.0,213.0,426.0
2023,1,1,CRW,"Charleston/Dunbar, WV",West Virginia,263.0,264.0,527.0
2023,1,1,CSG,"Columbus, GA",Georgia,91.0,91.0,182.0
2023,1,1,CVG,"Cincinnati, OH",Kentucky,2897.0,2896.0,5793.0
2023,1,1,CWA,"Mosinee, WI",Wisconsin,119.0,119.0,238.0
2023,1,1,CYS,"Cheyenne, WY",Wyoming,61.0,61.0,122.0
2023,1,1,DAB,"Daytona Beach, FL",Florida,225.0,225.0,450.0
2023,1,1,DAL,"Dallas, TX",Texas,5986.0,5984.0,11970.0
2023,1,1,DAY,"Dayton, OH",Ohio,551.0,552.0,1103.0
2023,1,1,DCA,"Washington, DC",Virginia,11772.0,11774.0,23546.0
2023,1,1,DDC,"Dodge City, KS",Kansas,52.0,52.0,104.0
2023,1,1,DEC,"Decatur, IL",Illinois,83.0,83.0,166.0
2023,1,1,DEN,"Denver, CO",Colorado,22460.0,22461.0,44921.0
2023,1,1,DFW,"Dallas/Fort Worth, TX",Texas,20502.0,20521.0,41023.0
2023,1,1,DHN,"Dothan, AL",Alabama,62.0,62.0,124.0
2023,1,1,DIK,"Dickinson, ND",North Dakota,53.0,53.0,106.0
2023,1,1,DLH,"Duluth, MN",Minnesota,123.0,123.0,246.0
2023,1,1,DRO,"Durango, CO",Colorado,214.0,217.0,431.0
2023,1,1,DRT,"Del Rio, TX",Texas,60.0,60.0,120.0
2023,1,1,DSM,"Des Moines, IA",Iowa,1136.0,1136.0,2272.0
2023,1,1,DTW,"Detroit, MI",Michigan,9905.0,9899.0,19804.0
2023,1,1,DVL,"Devils Lake, ND",North Dakota,56.0,56.0,112.0
2023,1,1,ECP,"Panama City, FL",Florida,354.0,354.0,708.0
2023,1,1,EGE,"Eagle, CO",Colorado,511.0,511.0,1022.0
2023,1,1,EKO,"Elko, NV",Nevada,31.0,31.0,62.0
2023,1,1,ELM,"Elmira/Corning, NY",New York,80.0,80.0,160.0
2023,1,1,ELP,"El Paso, TX",Texas,1372.0,1373.0,2745.0
2023,1,1,ESC,"Escanaba, MI",Michigan,61.0,61.0,122.0
2023,1,1,EUG,"Eugene, OR",Oregon,508.0,508.0,1016.0
2023,1,1,EVV,"Evansville, IN",Indiana,110.0,109.0,219.0
2023,1,1,EWR,"Newark, NJ",New Jersey,11623.0,11628.0,23251.0
2023,1,1,EYW,"Key West, FL",Florida,673.0,670.0,1343.0
2023,1,1,FAI,"Fairbanks, AK",Alaska,247.0,249.0,496.0
2023,1,1,FAR,"Fargo, ND",North Dakota,563.0,565.0,1128.0
2023,1,1,FAT,"Fresno, CA",California,777.0,779.0,1556.0
2023,1,1,FAY,"Fayetteville, NC",North Carolina,105.0,105.0,210.0
2023,1,1,FCA,"Kalispell, MT",Montana,246.0,245.0,491.0
2023,1,1,FLG,"Flagstaff, AZ",Arizona,121.0,121.0,242.0
2023,1,1,FLL,"Fort Lauderdale, FL",Florida,7600.0,7584.0,15184.0
2023,1,1,FNT,"Flint, MI",Michigan,158.0,158.0,316.0
2023,1,1,FOD,"Fort Dodge, IA",Iowa,52.0,52.0,104.0
2023,1,1,FSD,"Sioux Falls, SD",South Dakota,571.0,573.0,1144.0
2023,1,1,FSM,"Fort Smith, AR",Arkansas,80.0,80.0,160.0
2023,1,1,FWA,"Fort Wayne, IN",Indiana,313.0,313.0,626.0
2023,1,1,GCC,"Gillette, WY",Wyoming,52.0,52.0,104.0
2023,1,1,GCK,"Garden City, KS",Kansas,60.0,60.0,120.0
2023,1,1,GEG,"Spokane, WA",Washington,1202.0,1206.0,2408.0
2023,1,1,GFK,"Grand Forks, ND",North Dakota,119.0,119.0,238.0
2023,1,1,GGG,"Longview, TX",Texas,61.0,61.0,122.0
2023,1,1,GJT,"Grand Junction, CO",Colorado,200.0,199.0,399.0
2023,1,1,GNV,"Gainesville, FL",Florida,252.0,254.0,506.0
2023,1,1,GPT,"Gulfport/Biloxi, MS",Mississippi,215.0,215.0,430.0
2023,1,1,GRB,"Green Bay, WI",Wisconsin,282.0,282.0,564.0
2023,1,1,GRI,"Grand Island, NE",Nebraska,79.0,79.0,158.0
2023,1,1,GRK,"Killeen, TX",Texas,71.0,72.0,143.0
2023,1,1,GRR,"Grand Rapids, MI",Michigan,1289.0,1290.0,2579.0
2023,1,1,GSO,"Greensboro/High Point, NC",North Carolina,848.0,850.0,1698.0
2023,1,1,GSP,"Greer, SC",South Carolina,978.0,980.0,1958.0
2023,1,1,GTF,"Great Falls, MT",Montana,190.0,190.0,380.0
2023,1,1,GTR,"Columbus, MS",Mississippi,87.0,87.0,174.0
2023,1,1,GUC,"Gunnison, CO",Colorado,94.0,94.0,188.0
2023,1,1,GUM,"Guam, TT",U.S. Pacific Trust Territories and Possessions,62.0,62.0,124.0
2023,1,1,HDN,"Hayden, CO",Colorado,370.0,370.0,740.0
2023,1,1,HGR,"Hagerstown, MD",Maryland,18.0,18.0,36.0
2023,1,1,HHH,"Hilton Head, SC",South Carolina,68.0,68.0,136.0
2023,1,1,HIB,"Hibbing, MN",Minnesota,73.0,73.0,146.0
2023,1,1,HLN,"Helena, MT",Montana,92.0,92.0,184.0
2023,1,1,HNL,"Honolulu, HI",Hawaii,5079.0,5079.0,10158.0
2023,1,1,HOU,"Houston, TX",Texas,4247.0,4245.0,8492.0
2023,1,1,HPN,"White Plains, NY",New York,1117.0,1120.0,2237.0
2023,1,1,HRL,"Harlingen/San Benito, TX",Texas,273.0,273.0,546.0
2023,1,1,HSV,"Huntsville, AL",Alabama,596.0,598.0,1194.0
2023,1,1,HTS,"Ashland, WV",West Virginia,27.0,27.0,54.0
2023,1,1,HYS,"Hays, KS",Kansas,62.0,62.0,124.0
2023,1,1,IAD,"Washington, DC",Virginia,3588.0,3593.0,7181.0
2023,1,1,IAG,"Niagara Falls, NY",New York,28.0,28.0,56.0
2023,1,1,IAH,"Houston, TX",Texas,9123.0,9120.0,18243.0
2023,1,1,ICT,"Wichita, KS",Kansas,682.0,684.0,1366.0
2023,1,1,IDA,"Idaho Falls, ID",Idaho,245.0,245.0,490.0
2023,1,1,ILM,"Wilmington, NC",North Carolina,470.0,469.0,939.0
2023,1,1,IMT,"Iron Mountain/Kingsfd, MI",Michigan,61.0,61.0,122.0
2023,1,1,IND,"Indianapolis, IN",Indiana,3404.0,3405.0,6809.0
2023,1,1,INL,"International Falls, MN",Minnesota,52.0,52.0,104.0
2023,1,1,ISP,"Islip, NY",New York,379.0,379.0,758.0
2023,1,1,ITH,"Ithaca/Cortland, NY",New York,57.0,58.0,115.0
2023,1,1,ITO,"Hilo, HI",Hawaii,557.0,557.0,1114.0
2023,1,1,JAC,"Jackson, WY",Wyoming,510.0,509.0,1019.0
2023,1,1,JAN,"Jackson/Vicksburg, MS",Mississippi,550.0,550.0,1100.0
2023,1,1,JAX,"Jacksonville, FL",Florida,2213.0,2213.0,4426.0
2023,1,1,JFK,"New York, NY",New York,10918.0,10912.0,21830.0
2023,1,1,JLN,"Joplin, MO",Missouri,52.0,52.0,104.0
2023,1,1,JMS,"Jamestown, ND",North Dakota,56.0,56.0,112.0
2023,1,1,JNU,"Juneau, AK",Alaska,342.0,342.0,684.0
2023,1,1,JST,"Johnstown, PA",Pennsylvania,61.0,61.0,122.0
2023,1,1,KOA,"Kona, HI",Hawaii,1438.0,1438.0,2876.0
2023,1,1,KTN,"Ketchikan, AK",Alaska,182.0,182.0,364.0
2023,1,1,LAN,"Lansing, MI",Michigan,136.0,137.0,273.0
2023,1,1,LAR,"Laramie, WY",Wyoming,53.0,53.0,106.0
2023,1,1,LAS,"Las Vegas, NV",Nevada,15792.0,15793.0,31585.0
2023,1,1,LAW,"Lawton/Fort Sill, OK",Oklahoma,68.0,67.0,135.0
2023,1,1,LAX,"Los Angeles, CA",California,15424.0,15428.0,30852.0
2023,1,1,LBB,"Lubbock, TX",Texas,414.0,414.0,828.0
2023,1,1,LBE,"Latrobe, PA",Pennsylvania,31.0,31.0,62.0
2023,1,1,LBF,"North Platte, NE",Nebraska,83.0,83.0,166.0
2023,1,1,LBL,"Liberal, KS",Kansas,52.0,52.0,104.0
2023,1,1,LCH,"Lake Charles, LA",Louisiana,91.0,91.0,182.0
2023,1,1,LCK,"Columbus, OH",Ohio,56.0,56.0,112.0
2023,1,1,LEX,"Lexington, KY",Kentucky,552.0,552.0,1104.0
2023,1,1,LFT,"Lafayette, LA",Louisiana,211.0,211.0,422.0
2023,1,1,LGA,"New York, NY",New York,13479.0,13481.0,26960.0
2023,1,1,LGB,"Long Beach, CA",California,1300.0,1300.0,2600.0
2023,1,1,LIH,"Lihue, HI",Hawaii,1354.0,1351.0,2705.0
2023,1,1,LIT,"Little Rock, AR",Arkansas,821.0,820.0,1641.0
2023,1,1,LNK,"Lincoln, NE",Nebraska,28.0,28.0,56.0
2023,1,1,LRD,"Laredo, TX",Texas,87.0,87.0,174.0
2023,1,1,LSE,"La Crosse, WI",Wisconsin,80.0,80.0,160.0
2023,1,1,LWS,"Lewiston, ID",Idaho,62.0,62.0,124.0
2023,1,1,MAF,"Midland/Odessa, TX",Texas,562.0,566.0,1128.0
2023,1,1,MBS,"Saginaw/Bay City/Midland, MI",Michigan,62.0,62.0,124.0
2023,1,1,MCI,"Kansas City, MO",Missouri,3584.0,3586.0,7170.0
2023,1,1,MCO,"Orlando, FL",Florida,13333.0,13327.0,26660.0
2023,1,1,MCW,"Mason City, IA",Iowa,52.0,52.0,104.0
2023,1,1,MDT,"Harrisburg, PA",Pennsylvania,385.0,385.0,770.0
2023,1,1,MDW,"Chicago, IL",Illinois,6498.0,6498.0,12996.0
2023,1,1,MEI,"Meridian, MS",Mississippi,83.0,83.0,166.0
2023,1,1,MEM,"Memphis, TN",Tennessee,1796.0,1799.0,3595.0
2023,1,1,MFE,"Mission/McAllen/Edinburg, TX",Texas,223.0,225.0,448.0
2023,1,1,MFR,"Medford, OR",Oregon,354.0,355.0,709.0
2023,1,1,MGM,"Montgomery, AL",Alabama,200.0,201.0,401.0
2023,1,1,MHK,"Manhattan/Ft. Riley, KS",Kansas,126.0,126.0,252.0
2023,1,1,MHT,"Manchester, NH",New Hampshire,488.0,487.0,975.0
2023,1,1,MIA,"Miami, FL",Florida,8697.0,8689.0,17386.0
2023,1,1,MKE,"Milwaukee, WI",Wisconsin,1981.0,1983.0,3964.0
2023,1,1,MLB,"Melbourne, FL",Florida,233.0,234.0,467.0
2023,1,1,MLI,"Moline, IL",Illinois,281.0,280.0,561.0
2023,1,1,MLU,"Monroe, LA",Louisiana,152.0,152.0,304.0
2023,1,1,MOB,"Mobile, AL",Alabama,171.0,171.0,342.0
2023,1,1,MOT,"Minot, ND",North Dakota,174.0,174.0,348.0
2023,1,1,MQT,"Marquette, MI",Michigan,71.0,71.0,142.0
2023,1,1,MRY,"Monterey, CA",California,286.0,286.0,572.0
2023,1,1,MSN,"Madison, WI",Wisconsin,810.0,809.0,1619.0
2023,1,1,MSO,"Missoula, MT",Montana,238.0,239.0,477.0
2023,1,1,MSP,"Minneapolis, MN",Minnesota,9470.0,9460.0,18930.0
2023,1,1,MSY,"New Orleans, LA",Louisiana,3996.0,4002.0,7998.0
2023,1,1,MTJ,"Montrose/Delta, CO",Colorado,372.0,372.0,744.0
2023,1,1,MYR,"Myrtle Beach, SC",South Carolina,735.0,735.0,1470.0
2023,1,1,OAJ,"Jacksonville/Camp Lejeune, NC",North Carolina,62.0,62.0,124.0
2023,1,1,OAK,"Oakland, CA",California,3797.0,3792.0,7589.0
2023,1,1,OGG,"Kahului, HI",Hawaii,2609.0,2609.0,5218.0
2023,1,1,OKC,"Oklahoma City, OK",Oklahoma,1653.0,1654.0,3307.0
2023,1,1,OMA,"Omaha, NE",Nebraska,1751.0,1753.0,3504.0
2023,1,1,OME,"Nome, AK",Alaska,60.0,60.0,120.0
2023,1,1,ONT,"Ontario, CA",California,1842.0,1842.0,3684.0
